model,model_label,planned_n,scorable_n,family,variable,level,count,denominator,proportion,wilson95_low,wilson95_high
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,dependency,4,0,27,0.0,0.0,0.12455502974186705
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,temporal,0,20,27,0.7407407407407407,0.5532142868544692,0.8682962543809281
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,temporal,1,7,27,0.25925925925925924,0.1317037456190719,0.44678571314553067
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,temporal,2,0,27,0.0,0.0,0.12455502974186705
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,temporal,3,0,27,0.0,0.0,0.12455502974186705
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,temporal,4,0,27,0.0,0.0,0.12455502974186705
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,anthro,0,1,27,0.037037037037037035,0.006568145980785103,0.18283465933575843
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,anthro,1,9,27,0.3333333333333333,0.18643261498715644,0.5217523949267991
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,anthro,2,7,27,0.25925925925925924,0.1317037456190719,0.44678571314553067
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,anthro,3,10,27,0.37037037037037035,0.21532512960965597,0.5577076558789761
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,anthro,4,0,27,0.0,0.0,0.12455502974186705
claude-sonnet-5,Claude Sonnet 5,27,27,primary_codebook,ack,0,0,27,0.0,0.0,0.12455502974186705
claude-sonnet-5,Claude Sonnet 5,27,27,primary_codebook,ack,1,0,27,0.0,0.0,0.12455502974186705
claude-sonnet-5,Claude Sonnet 5,27,27,primary_codebook,ack,2,27,27,1.0,0.8754449702581328,0.9999999999999998
claude-sonnet-5,Claude Sonnet 5,27,27,primary_codebook,consolation,0,0,27,0.0,0.0,0.12455502974186705
claude-sonnet-5,Claude Sonnet 5,27,27,primary_codebook,consolation,1,24,27,0.8888888888888888,0.7194219918172017,0.9614796517169016
claude-sonnet-5,Claude Sonnet 5,27,27,primary_codebook,consolation,2,3,27,0.1111111111111111,0.038520348283098374,0.2805780081827982
claude-sonnet-5,Claude Sonnet 5,27,27,primary_codebook,self_position,0,0,27,0.0,0.0,0.12455502974186705
claude-sonnet-5,Claude Sonnet 5,27,27,primary_codebook,self_position,1,11,27,0.4074074074074074,0.24514757074395552,0.592732990319353
